date,hour,depth,value,variable
2020-08-26,NA,5.0,18.654884236111112,temperature
2020-08-26,NA,6.0,14.800270868055556,temperature
2020-08-26,NA,7.0,12.744026145833333,temperature
2020-08-26,NA,8.0,11.3787471875,temperature
2020-08-27,NA,1.0,26.974360277777777,temperature
2020-08-27,NA,2.0,26.429862222222223,temperature
2020-08-27,NA,3.0,25.602168680555554,temperature
2020-08-27,NA,4.0,24.179894791666666,temperature
2020-08-27,NA,5.0,18.878639166666666,temperature
2020-08-27,NA,6.0,14.759717569444444,temperature
2020-08-27,NA,7.0,12.75712125,temperature
2020-08-27,NA,8.0,11.404585416666666,temperature
2020-08-28,NA,1.0,27.121108819444444,temperature
2020-08-28,NA,2.0,26.632695625,temperature
2020-08-28,NA,3.0,25.858556666666665,temperature
2020-08-28,NA,4.0,24.258084305555556,temperature
2020-08-28,NA,5.0,18.972320208333333,temperature
2020-08-28,NA,6.0,14.779565416666667,temperature
2020-08-28,NA,7.0,12.760166180555556,temperature
2020-08-28,NA,8.0,11.43197138888889,temperature
2020-08-29,NA,1.0,26.56108888888889,temperature
2020-08-29,NA,2.0,26.391604166666667,temperature
2020-08-29,NA,3.0,26.062319583333334,temperature
2020-08-29,NA,4.0,24.559044375,temperature
2020-08-29,NA,5.0,19.007977083333333,temperature
2020-08-29,NA,6.0,14.884291180555556,temperature
2020-08-29,NA,7.0,12.765035138888889,temperature
2020-08-29,NA,8.0,11.407453819444445,temperature
2020-08-30,NA,1.0,26.487431180555557,temperature
2020-08-30,NA,2.0,26.27306451388889,temperature
2020-08-30,NA,3.0,25.972196874999998,temperature
2020-08-30,NA,4.0,24.66619902777778,temperature
2020-08-30,NA,5.0,19.043610138888887,temperature
2020-08-30,NA,6.0,14.888936458333333,temperature
2020-08-30,NA,7.0,12.791627291666666,temperature
2020-08-30,NA,8.0,11.444531041666666,temperature
2020-08-31,NA,1.0,25.793975208333332,temperature
2020-08-31,NA,2.0,25.62901284722222,temperature
2020-08-31,NA,3.0,25.482629166666666,temperature
2020-08-31,NA,4.0,24.422937083333334,temperature
2020-08-31,NA,5.0,19.148525763888887,temperature
2020-08-31,NA,6.0,14.93117513888889,temperature
2020-08-31,NA,7.0,12.833413611111112,temperature
2020-08-31,NA,8.0,11.480579652777777,temperature
2020-09-01,NA,1.0,24.730549444444446,temperature
2020-09-01,NA,2.0,24.69143451388889,temperature
2020-09-01,NA,3.0,24.645965486111113,temperature
2020-09-01,NA,4.0,24.02346590277778,temperature
2020-09-01,NA,5.0,19.189873125,temperature
2020-09-01,NA,6.0,14.965831875,temperature
2020-09-01,NA,7.0,12.819375,temperature
2020-09-01,NA,8.0,11.444965277777778,temperature
2020-09-02,NA,1.0,25.380951875,temperature
2020-09-02,NA,2.0,24.665475208333334,temperature
