horizon,forecast_date,depth,mean,sd,obs,turnover_pct
1,2021-02-18,0.5,2.19685360481497,1.51578944313853,2.2228,84.5
1,2021-02-18,1.5,2.88492162656039,1.50691436578912,2.2189,84.5
1,2021-02-18,3,3.05998974490911,1.37641284060797,2.2632,84.5
1,2021-02-18,4,3.07116069719195,1.32080786854921,2.27,84.5
1,2021-02-18,5,3.13882636576891,1.16697365882039,2.3146,84.5
1,2021-02-18,6,3.18822025626898,1.05947713446281,2.4794,84.5
1,2021-02-18,7,3.18859232068062,0.988636877810878,2.4407,84.5
1,2021-02-18,8,3.22877969235182,0.908804782629135,2.4876,84.5
1,2021-02-18,9,3.26233712762594,0.876047880300064,2.568,84.5
1,2021-02-18,10,3.31804383397102,0.81893715028276,2.6406,84.5
1,2021-02-18,11,3.43781296491623,0.774600052435968,2.6419,84.5
2,2021-02-18,0.5,3.06663502208889,1.25265999061845,2.2659,98.5
2,2021-02-18,1.5,3.11790681950748,1.31241163443675,2.2609,98.5
2,2021-02-18,3,3.09114341780543,1.32018673888436,2.2873,98.5
2,2021-02-18,4,3.01760865930468,1.32970586391799,2.2635,98.5
2,2021-02-18,5,3.09485310405493,1.25818373006152,2.2871,98.5
2,2021-02-18,6,3.10265803590417,1.15289206816621,2.3154,98.5
2,2021-02-18,7,3.09716847583652,1.13065979801557,2.2701,98.5
2,2021-02-18,8,3.09377376645803,1.08410286755382,2.3034,98.5
2,2021-02-18,9,3.12889616876841,1.08016652501807,2.2976,98.5
2,2021-02-18,10,3.16008249685168,1.06269908232414,2.3186,98.5
2,2021-02-18,11,3.20877812245861,1.05792613389089,2.2797,98.5
3,2021-02-18,0.5,2.67033997111022,1.24301155537595,2.0226,97
3,2021-02-18,1.5,2.77000669902074,1.26243026463681,2.0175,97
3,2021-02-18,3,2.75146207618527,1.30065210572508,2.0457,97
3,2021-02-18,4,2.74422481387854,1.21952706321,2.0277,97
3,2021-02-18,5,2.76020297734533,1.15355163419406,2.0485,97
3,2021-02-18,6,2.73019647374749,1.11190663299759,2.0716,97
3,2021-02-18,7,2.73767370732501,1.11278521723085,2.0269,97
3,2021-02-18,8,2.74474981665611,1.05443637470534,2.064,97
3,2021-02-18,9,2.75297221422195,1.06107585440653,2.0614,97
3,2021-02-18,10,2.76742260888219,1.05899756451181,2.0858,97
3,2021-02-18,11,2.77381683886051,1.01893331003136,2.0574,97
4,2021-02-18,0.5,2.36218077211641,1.47168092740839,2.5452,91
4,2021-02-18,1.5,2.94903993288055,1.44960877574587,2.5418,91
4,2021-02-18,2.5,3.01349802091718,1.44326340979728,2.5794,91
4,2021-02-18,4,3.04147020682693,1.29471148578603,2.5683,91
4,2021-02-18,5,3.00385067619383,1.26398686970098,2.5961,91
4,2021-02-18,6,3.03406407542527,1.15033982225039,2.6433,91
4,2021-02-18,7,3.03223919659853,1.06368052229069,2.6349,91
4,2021-02-18,8,3.04312056396157,0.990411587287162,2.765,91
4,2021-02-18,9,3.07507839635015,0.963336020699937,2.841,91
4,2021-02-18,10,3.11753620177507,0.967759677736346,2.9192,91
4,2021-02-18,11,3.17972331542522,0.960606759533036,2.9333,91
5,2021-02-18,0.5,2.59747384749353,1.44469461087806,2.5882,95
5,2021-02-18,1.5,2.81679926294833,1.40477081921986,2.582,95
5,2021-02-18,2.5,2.93405052680522,1.36880943096978,2.617,95
5,2021-02-18,4,3.02673324526288,1.33183058889332,2.5973,95
5,2021-02-18,5,3.01496868893504,1.24617555607118,2.6204,95
5,2021-02-18,6,3.05768523529172,1.15645341573793,2.6465,95
5,2021-02-18,7,3.12636043414474,1.06427626587433,2.6026,95
5,2021-02-18,8,3.12193766601384,1.00562653859011,2.632,95
5,2021-02-18,9,3.16127230495214,0.984429517760545,2.6296,95
5,2021-02-18,10,3.19491194866598,0.989329998839337,2.654,95
5,2021-02-18,11,3.28886160835624,0.958412000622008,2.6174,95
6,2021-02-18,0.5,3.02852798894048,1.26990183335817,3.0124,98.5
6,2021-02-18,1.5,3.03697779607493,1.311989449855,2.9916,98.5
6,2021-02-18,2.5,3.07243100311607,1.30450777546894,3.0118,98.5
6,2021-02-18,4,3.06534129419364,1.30816108859305,2.9838,98.5
6,2021-02-18,5,3.06210204865783,1.28667900327987,3.0058,98.5
6,2021-02-18,6,3.08927170136012,1.19410377860261,3.0297,98.5
6,2021-02-18,7,3.09383892685175,1.13227791591818,2.9841,98.5
6,2021-02-18,8,3.08417557928711,1.0753899790678,3.0118,98.5
6,2021-02-18,9,3.08370246246457,1.06519706355319,3.0057,98.5
6,2021-02-18,10,3.08216355852783,1.08165232265538,3.0265,98.5
6,2021-02-18,11,3.10531526327133,1.07483716160232,2.9906,98.5
7,2021-02-18,0.5,3.35100820556283,1.42632727906813,3.3278,99
7,2021-02-18,1.5,3.35567620337009,1.3735946231266,3.309,99
7,2021-02-18,2.5,3.30937237698585,1.29962906267456,3.3352,99
7,2021-02-18,4,3.33820537801832,1.30360507592625,3.3212,99
7,2021-02-18,5,3.24193903885782,1.24517179406958,3.3608,99
7,2021-02-18,6,3.24544467821717,1.14074582723764,3.3953,99
7,2021-02-18,7,3.27124869666994,1.10081753933036,3.3564,99
7,2021-02-18,8,3.24324168100953,1.0687122934769,3.3889,99
7,2021-02-18,9,3.23923259034753,1.05122087642733,3.3869,99
