horizon,forecast_date,depth,mean,sd,obs,turnover_pct
1,2021-01-28,0.5,2.85876258740202,1.34930261000199,2.4489,97
1,2021-01-28,1.5,2.82753195734811,1.25345619567477,2.4446,97
1,2021-01-28,2.5,2.81030566848814,1.24604495713911,2.4792,97
1,2021-01-28,3.5,2.83055098682642,1.3133417022988,2.4563,97
1,2021-01-28,5,2.83677659869194,1.28108823745707,2.481,97
1,2021-01-28,6,2.82077956542373,1.13087670134336,2.4991,97
1,2021-01-28,7,2.7679767857492,1.10256736174528,2.4583,97
1,2021-01-28,8,2.74704659208655,1.07277950432443,2.4866,97
1,2021-01-28,9,2.74234546341002,1.07121682659827,2.4761,97
1,2021-01-28,10,2.74053643532097,1.04797493878286,2.4946,97
1,2021-01-28,11,2.74789095640182,1.0589020478272,2.4601,97
2,2021-01-28,0.5,2.3205706769973,1.30242705154182,1.9504,97.5
2,2021-01-28,1.5,2.44798514931463,1.29610295200181,1.9477,97.5
2,2021-01-28,2.5,2.39878541641869,1.25754294606349,2.0016,97.5
2,2021-01-28,3.5,2.43652366353199,1.23229565413618,1.9794,97.5
2,2021-01-28,4.5,2.50741942409426,1.28132883901038,2.0105,97.5
2,2021-01-28,6,2.50117090372369,1.18211210024174,2.0492,97.5
2,2021-01-28,7,2.47097185212653,1.13405832896865,2.0276,97.5
2,2021-01-28,8,2.49963431417942,1.07501158446264,2.0717,97.5
2,2021-01-28,9,2.51342909758911,1.07698072402776,2.0814,97.5
2,2021-01-28,10,2.50460320174694,1.05610876160957,2.1131,97.5
2,2021-01-28,11,2.49895168021321,1.05061195216455,2.0917,97.5
3,2021-01-28,0.5,1.98097456291318,1.34479574230672,2.2968,91
3,2021-01-28,1.5,2.64846846785396,1.37199613000457,2.3393,91
3,2021-01-28,2.5,2.67799666920677,1.36591585219983,2.4539,91
3,2021-01-28,3.5,2.67997889902443,1.30192988150328,2.4606,91
3,2021-01-28,4.5,2.67341360412538,1.28257118329945,2.4946,91
3,2021-01-28,6,2.80548168186331,1.1637942750942,2.6151,91
3,2021-01-28,7,2.83145340695977,1.12076638893783,2.6172,91
3,2021-01-28,8,2.84403718501329,1.05094763202239,2.75,91
3,2021-01-28,9,2.85150817722082,1.02938830751005,2.8768,91
3,2021-01-28,10,2.88236459940672,1.00951000330129,3.0099,91
3,2021-01-28,11,2.94721741855144,0.981324749674275,3.0154,91
4,2021-01-28,0.5,1.290632174036,1.49673512449696,1.9289,73.5
4,2021-01-28,1.5,2.54501967955381,1.43840503729935,1.9759,73.5
4,2021-01-28,2.5,2.75533996097744,1.43122027200539,2.0351,73.5
4,2021-01-28,3.5,2.82200430057943,1.40529091937702,2.1022,73.5
4,2021-01-28,4.5,2.88838126271963,1.31179487279048,2.193,73.5
4,2021-01-28,6,2.98243526306003,1.13746748164528,2.2944,73.5
4,2021-01-28,7,3.01934262648225,1.04459216081806,2.3428,73.5
4,2021-01-28,8,3.02879752010107,0.991219644698734,2.3985,73.5
4,2021-01-28,9,3.05591487854719,0.999390400364239,2.5605,73.5
4,2021-01-28,10,3.10323831409216,0.962473631281715,2.7768,73.5
4,2021-01-28,11,3.2343942335248,0.913193838127212,2.9761,73.5
5,2021-01-28,0.5,2.45518607035279,1.42364075626542,1.9122,93
5,2021-01-28,1.5,2.53063455879688,1.39368644597843,1.8951,93
5,2021-01-28,2.5,2.58801226465031,1.39434053287325,1.9223,93
5,2021-01-28,3.5,2.63049418616109,1.42281851657265,1.8969,93
