horizon,forecast_date,depth,mean,sd,obs,turnover_pct
1,2021-05-20,0.5,20.9530546951294,1.36634067584441,20.1905,0
1,2021-05-20,1.5,19.904634141922,1.66207917729177,20.0921,0
1,2021-05-20,2.5,17.5492086362839,1.83509210059962,17.7698,0
1,2021-05-20,3.5,16.0287026405334,1.90032394250435,17.0517,0
1,2021-05-20,4.5,13.8041214227676,1.7744371468261,15.7989,0
1,2021-05-20,5.5,12.0016009902954,1.31605001128891,11.9371,0
1,2021-05-20,6.5,10.8986573123932,0.994760470104719,10.0459,0
1,2021-05-20,7.5,9.97240746498108,0.761982217210634,9.0854,0
1,2021-05-20,9,8.95976509094238,0.710300281387813,8.7215,0
1,2021-05-20,10,8.55003412008286,0.711397692848968,8.5855,0
1,2021-05-20,11,8.1009634065628,0.671393467791394,8.4138,0
2,2021-05-20,0.5,22.3247528457642,1.34999756741712,21.0689,0
2,2021-05-20,1.5,20.4952272129059,1.56968445081637,21.0583,0
2,2021-05-20,2.5,17.8634700107574,1.85305382229582,18.1609,0
2,2021-05-20,3.5,16.0944326925278,1.96638721399562,17.5374,0
2,2021-05-20,4.5,13.8301182866097,1.86211446136728,15.3258,0
2,2021-05-20,5.5,12.0312782907486,1.49088874026736,11.6994,0
2,2021-05-20,6.5,10.9089130353928,1.12950927671106,9.8966,0
2,2021-05-20,7.5,9.98044949531555,0.860487641468214,9.0046,0
2,2021-05-20,9,8.95893369197846,0.775675462277965,8.7293,0
2,2021-05-20,10,8.54201854944229,0.777538427278189,8.6702,0
2,2021-05-20,11,8.06883692502976,0.744715561416699,8.4012,0
3,2021-05-20,0.5,21.9036375045776,1.40348896941372,22.3408,0
3,2021-05-20,1.5,21.5299507236481,1.59526945948902,22.299,0
3,2021-05-20,2.5,18.3939929103851,2.08696655338517,19.2497,0
3,2021-05-20,3.5,16.1272937345505,2.07369825472433,16.9922,0
3,2021-05-20,4.5,13.8565043330193,1.97742344573202,15.2865,0
3,2021-05-20,5.5,12.0312774062157,1.5459214673792,12.4361,0
3,2021-05-20,6.5,10.8753156352043,1.1316188065328,10.2634,0
3,2021-05-20,7.5,9.92892978429794,0.907043020826708,9.2837,0
3,2021-05-20,9,8.90397195577621,0.782789513757182,8.7808,0
3,2021-05-20,10,8.45924546718597,0.770332861921889,8.6044,0
3,2021-05-20,11,7.98590861082077,0.767533669769749,8.4609,0
4,2021-05-20,0.5,22.2414345359802,1.48688418653061,22.7453,0
4,2021-05-20,1.5,22.179778470993,1.4659490355504,22.6954,0
4,2021-05-20,2.5,19.225669631958,2.2609459165808,22.3637,0
4,2021-05-20,3.5,16.167476272583,2.26291510076554,17.988,0
4,2021-05-20,4.5,13.8967557477951,2.04158282069747,15.7073,0
4,2021-05-20,5.5,12.0472035694122,1.5971750066864,11.7743,0
4,2021-05-20,6.5,10.877388279438,1.17538963840193,10.0148,0
4,2021-05-20,7.5,9.93021923303604,0.911927921605511,9.0885,0
4,2021-05-20,9,8.9198814368248,0.802517453742623,8.7962,0
4,2021-05-20,10,8.42328233242035,0.816643814292281,8.6614,0
4,2021-05-20,11,7.94238440513611,0.827943429431057,8.478,0
5,2021-05-20,0.5,23.2002127552032,1.58034427145125,21.5897,0
5,2021-05-20,1.5,22.4300395679474,1.60013789380517,21.0845,0
5,2021-05-20,2.5,19.5049736261368,2.339686207055,20.2967,0
5,2021-05-20,3.5,16.2467297267914,2.38599725446246,18.3337,0
5,2021-05-20,4.5,13.9263702774048,2.1254483679144,15.1898,0
5,2021-05-20,5.5,12.0557854199409,1.68207792665226,11.5755,0
5,2021-05-20,6.5,10.8835871696472,1.29690427640511,10.4181,0
5,2021-05-20,7.5,9.89933548688889,0.982558209911651,9.5183,0
5,2021-05-20,9,8.870975689888,0.833984544823482,8.8552,0
5,2021-05-20,10,8.37889577388763,0.852525670523399,8.642,0
5,2021-05-20,11,7.90999274969101,0.846913393598074,8.4376,0
6,2021-05-20,0.5,23.7787394237518,1.58487563634394,22.2989,0
6,2021-05-20,1.5,22.9306183242798,1.61264590695027,22.2416,0
6,2021-05-20,2.5,19.5662261295319,2.37799566564883,19.6378,0
6,2021-05-20,3.5,16.241374335289,2.44831359027771,18.1512,0
6,2021-05-20,4.5,13.903801202774,2.15386657571755,16.2463,0
6,2021-05-20,5.5,12.077438621521,1.71900167307108,11.9305,0
6,2021-05-20,6.5,10.9232494997978,1.36814889994405,10.3426,0
6,2021-05-20,7.5,9.92692692041397,1.06272643689962,9.5092,0
6,2021-05-20,9,8.88794528722763,0.8886594992907,8.9548,0
6,2021-05-20,10,8.38008914709091,0.890963591581724,8.699,0
6,2021-05-20,11,7.88468278884888,0.894401828672866,8.4678,0
7,2021-05-20,0.5,23.8555137729645,1.70210195959093,23.4331,0
7,2021-05-20,1.5,23.655908498764,1.60210124337844,23.3536,0
7,2021-05-20,2.5,20.2239577388763,2.73245411201998,23.2844,0
7,2021-05-20,3.5,16.3954091310501,2.69169931862997,18.3896,0
7,2021-05-20,4.5,14.0426459550858,2.31224767312666,15.8702,0
7,2021-05-20,5.5,12.1738038825989,1.88950519488806,11.583,0
7,2021-05-20,6.5,10.9511128115654,1.46645469108613,9.8637,0
7,2021-05-20,7.5,9.93433516740799,1.12673958249367,9.1029,0
7,2021-05-20,8.5,9.145662753582,0.960538035292646,8.7863,0
7,2021-05-20,10,8.41161083221436,0.943219392845034,8.6831,0
7,2021-05-20,11,7.90451608657837,0.906620386033193,8.471,0
8,2021-05-20,0.5,23.7311986732483,1.78889094708888,23.9003,0
