horizon,forecast_date,depth,mean,sd,obs,turnover_pct
1,2021-03-27,0.5,11.1876834082603,1.17599692773459,12.324,1
1,2021-03-27,1.5,10.7882140660286,1.16487815335097,11.5416,1
1,2021-03-27,2.5,10.4519080734253,1.21704418268137,9.3792,1
1,2021-03-27,3.5,9.87991992235184,1.30447424289456,8.7389,1
1,2021-03-27,5,8.32881566286087,1.25687443072145,8.2506,1
1,2021-03-27,6,7.39258819103241,0.85853681036545,7.8781,1
1,2021-03-27,7,6.79019888162613,0.594076778594745,7.0582,1
1,2021-03-27,8,6.44033797025681,0.442601227469005,6.6901,1
1,2021-03-27,9,6.25158867120743,0.446532011601322,6.3703,1
1,2021-03-27,10,6.13176262140274,0.407008203851854,6.2724,1
1,2021-03-27,11,6.04131059646606,0.403499726248066,6.1575,1
2,2021-03-27,0.5,10.141188056469,1.32650109899037,11.7965,21
2,2021-03-27,1.5,10.0527627325058,1.29091902837876,11.7919,21
2,2021-03-27,2.5,10.1284193396568,1.28279551703871,11.8037,21
2,2021-03-27,3.5,10.1171446824074,1.32604722419127,11.7708,21
2,2021-03-27,5,9.7262610912323,1.27766501027106,11.788,21
2,2021-03-27,6,9.30322516441345,1.23285207984075,11.7807,21
2,2021-03-27,7,8.70021944999695,1.42533200535148,11.058,21
2,2021-03-27,8,8.23354673147202,1.5092986303939,6.3623,21
2,2021-03-27,9,7.77725915670395,1.57424462602777,6.237,21
2,2021-03-27,10,7.43739266872406,1.54108400776649,6.2036,21
2,2021-03-27,11,7.17594609498978,1.53968476508588,6.1615,21
3,2021-03-27,0.5,10.3662713885307,1.35695765797869,11.3527,22.5
3,2021-03-27,1.5,10.0971416831017,1.30745349531982,10.8025,22.5
3,2021-03-27,2.5,9.78416618108749,1.28933169879685,10.4888,22.5
3,2021-03-27,3.5,9.57804097652435,1.2824269922401,10.1008,22.5
3,2021-03-27,5,9.37529581069946,1.20070311039153,9.4387,22.5
3,2021-03-27,6,9.08826249361038,1.15836539617449,8.2226,22.5
3,2021-03-27,7,8.6394599032402,1.22686206620149,6.8632,22.5
3,2021-03-27,8,8.21682761192322,1.31825306926669,6.4129,22.5
3,2021-03-27,9,7.8662602353096,1.42180972394158,6.3154,22.5
3,2021-03-27,10,7.57572240352631,1.42381242048802,6.3141,22.5
3,2021-03-27,11,7.34317927122116,1.42575661124328,6.2525,22.5
4,2021-03-27,0.5,10.5253718566895,1.50611488631735,11.6199,17.5
4,2021-03-27,1.5,10.5232498240471,1.50795635775638,11.6028,17.5
4,2021-03-27,2.5,10.4047967195511,1.48125687821108,11.5822,17.5
4,2021-03-27,3.5,10.1338875293732,1.31645252054458,10.5004,17.5
4,2021-03-27,5,9.56010294914246,1.23444883459905,8.4633,17.5
4,2021-03-27,6,9.09897994279861,1.18653378594765,8.1041,17.5
4,2021-03-27,7,8.59647427797318,1.20760410758496,7.6169,17.5
4,2021-03-27,8,8.12920080900192,1.24111699819986,6.984,17.5
4,2021-03-27,9,7.78184466361999,1.34051438228462,6.5451,17.5
4,2021-03-27,10,7.51333173751831,1.38711874707363,6.4357,17.5
4,2021-03-27,11,7.27320477962494,1.37363633906679,6.3268,17.5
5,2021-03-27,0.5,10.4119081473351,1.53375603990477,11.8307,24.5
5,2021-03-27,1.5,10.3331258249283,1.53159234946837,11.8263,24.5
5,2021-03-27,2.5,10.295834171772,1.48486991553101,11.8424,24.5
5,2021-03-27,3.5,10.0941067934036,1.4250180006461,11.8147,24.5
5,2021-03-27,5,9.7175127530098,1.31179792551232,11.8341,24.5
5,2021-03-27,6,9.38587469816208,1.2205693914052,11.8437,24.5
5,2021-03-27,7,8.93747498512268,1.33764367426813,11.748,24.5
5,2021-03-27,8,8.47163743019104,1.35624128890246,10.3604,24.5
5,2021-03-27,9,8.10321720123291,1.44814429578069,6.489,24.5
5,2021-03-27,10,7.76113061189652,1.50041914523956,6.3709,24.5
5,2021-03-27,11,7.5310182762146,1.50699059348599,6.3068,24.5
6,2021-03-27,0.5,9.78718433380127,1.48768913954482,10.0517,42.5
6,2021-03-27,1.5,9.72512990474701,1.51732785654402,10.0553,42.5
6,2021-03-27,2.5,9.70990036725998,1.54602053366237,10.0753,42.5
6,2021-03-27,3.5,9.73315165042877,1.47749320056366,10.0458,42.5
6,2021-03-27,5,9.70916655540466,1.39916121324767,10.0709,42.5
6,2021-03-27,6,9.58579382896423,1.31091676036467,10.0835,42.5
6,2021-03-27,7,9.29101277112961,1.29201350143276,10.0413,42.5
6,2021-03-27,8,8.90339846611023,1.30303740324938,10.0587,42.5
6,2021-03-27,9,8.62463426351547,1.41383228072933,9.9992,42.5
6,2021-03-27,10,8.37269648313522,1.53191147011773,9.0246,42.5
6,2021-03-27,11,8.17158029556274,1.56196279873195,6.7268,42.5
7,2021-03-27,0.5,9.85560073852539,1.63856238524704,9.5077,39.5
7,2021-03-27,1.5,9.67896737098694,1.52111092295114,9.5082,39.5
7,2021-03-27,2.5,9.54732977390289,1.53778545171493,9.5221,39.5
7,2021-03-27,3.5,9.4354075717926,1.56578612750974,9.4927,39.5
7,2021-03-27,5,9.33363290071487,1.4609710909498,9.5129,39.5
7,2021-03-27,6,9.09861587047577,1.30042018080171,9.52,39.5
7,2021-03-27,7,8.85690508127212,1.2658826370736,9.4735,39.5
7,2021-03-27,8,8.57537456035614,1.23099456605718,9.4567,39.5
7,2021-03-27,9,8.2836058139801,1.27553811060583,9.1343,39.5
7,2021-03-27,10,8.04360790014267,1.365265633846,8.5588,39.5
7,2021-03-27,11,7.87351616859436,1.40169190142787,8.397,39.5
8,2021-03-27,0.5,10.1053487205505,1.74053750562785,9.7401,35.5
8,2021-03-27,1.5,9.84564545154572,1.5978525676096,9.738,35.5
8,2021-03-27,2.5,9.60764408826828,1.55314317149308,9.7682,35.5
8,2021-03-27,3.5,9.44378317117691,1.50126525069905,9.7217,35.5
8,2021-03-27,5,9.33844794511795,1.47411637042664,9.4495,35.5
8,2021-03-27,6,9.15992535352707,1.31846388427222,9.2656,35.5
8,2021-03-27,7,8.89301636457443,1.3074403848054,8.9833,35.5
8,2021-03-27,8,8.63165032148361,1.27274282723181,8.9167,35.5
8,2021-03-27,9,8.33381404876709,1.27500814164851,8.7795,35.5
8,2021-03-27,10,8.07023394823074,1.29513973380684,8.6097,35.5
8,2021-03-27,11,7.88167810916901,1.33616582784491,8.4073,35.5
9,2021-03-27,0.5,10.3388930916786,1.80260674974028,10.3591,36
9,2021-03-27,1.5,10.1814571881294,1.71883879786472,10.3516,36
9,2021-03-27,2.5,10.0297001791,1.69853990225169,10.3664,36
9,2021-03-27,3.5,9.77078541994095,1.62910730647986,10.3336,36
