horizon,forecast_date,depth,mean,sd,obs,turnover_pct
1,2021-01-25,0.5,1.50832083886198,1.63356719512295,2.7872,79
1,2021-01-25,1.5,2.15011739429086,1.65428233494005,2.8499,79
1,2021-01-25,2.5,2.20035273508634,1.67959160495148,2.9311,79
1,2021-01-25,3.5,2.18506240373477,1.64447679928704,2.9512,79
1,2021-01-25,4.5,2.24255562818609,1.54687640714805,2.9809,79
1,2021-01-25,5.5,2.35172877695877,1.44802410878588,3.0125,79
1,2021-01-25,7,2.52912811312825,1.29189661204462,2.9744,79
1,2021-01-25,8,2.61371963499114,1.27658593460848,3.008,79
1,2021-01-25,9,2.6900272473041,1.25145098642681,3.0157,79
1,2021-01-25,10,2.78857748436276,1.20158112962547,3.0498,79
1,2021-01-25,11,2.97453000828624,1.12890812669412,3.0661,79
2,2021-01-25,0.5,1.97583236577921,1.84083096144397,2.4362,83.5
2,2021-01-25,1.5,2.39958126181504,1.8278770565632,2.5854,83.5
2,2021-01-25,2.5,2.49040237520123,1.74815497705695,2.6807,83.5
2,2021-01-25,3.5,2.49262402053457,1.658550205098,2.6873,83.5
2,2021-01-25,4.5,2.56603757893667,1.62271313594841,2.7531,83.5
2,2021-01-25,6,2.6325108156167,1.41567525930804,2.9384,83.5
2,2021-01-25,7,2.66937377743423,1.29756908831682,2.9627,83.5
2,2021-01-25,8,2.73756576657295,1.2241842220865,3.0186,83.5
2,2021-01-25,9,2.79478667298332,1.20882640179368,3.0491,83.5
2,2021-01-25,10,2.91892283707857,1.13083445136367,3.124,83.5
2,2021-01-25,11,3.10412280902267,1.06787028343734,3.1704,83.5
3,2021-01-25,0.5,2.39562439698726,1.91618254237615,2.9416,86.5
3,2021-01-25,1.5,2.58043504660251,1.80396192410922,3.0125,86.5
3,2021-01-25,2.5,2.57845131356269,1.72277203359849,3.0699,86.5
3,2021-01-25,3.5,2.6176804497093,1.64676572727749,3.0436,86.5
3,2021-01-25,5,2.7515838590404,1.54677231554679,3.0671,86.5
3,2021-01-25,6,2.79306735275313,1.38179928025981,3.0937,86.5
3,2021-01-25,7,2.80020661458373,1.28856733386343,3.0598,86.5
3,2021-01-25,8,2.83974260825664,1.23423367727243,3.101,86.5
3,2021-01-25,9,2.89567068427801,1.19957828307215,3.1104,86.5
3,2021-01-25,10,2.96738917469978,1.15120177125877,3.1497,86.5
3,2021-01-25,11,3.14765109317377,1.07313587685393,3.1354,86.5
