horizon,forecast_date,depth,mean,sd,obs,turnover_pct
1,2021-02-10,0.5,2.13638206508243,1.94919397996009,2.6744,81
1,2021-02-10,1.5,2.90298848535866,1.72211228014418,2.6744,81
1,2021-02-10,2.5,3.0395957390219,1.67803437370141,2.6991,81
1,2021-02-10,3.5,3.04931319355965,1.62739521130415,2.6734,81
1,2021-02-10,4.5,3.04056954622269,1.52238005831658,2.6967,81
1,2021-02-10,5.5,3.04999596584821,1.34835783190201,2.7316,81
1,2021-02-10,7,3.07650795474648,1.16104565468992,2.6819,81
1,2021-02-10,8,3.09167786315084,1.08316011742599,2.7119,81
1,2021-02-10,9,3.12706916883588,1.06287071238475,2.7111,81
1,2021-02-10,10,3.15351638019085,1.03172710269548,2.7417,81
1,2021-02-10,11,3.25831869959831,0.950718502287997,2.7243,81
2,2021-02-10,0.5,2.0352892344445,2.00514736538411,2.6941,75
2,2021-02-10,1.5,2.8540884421207,1.77242077430968,2.6997,75
2,2021-02-10,2.5,3.026113187382,1.67516727606758,2.7407,75
2,2021-02-10,3.5,3.06985325977206,1.63086646347249,2.7417,75
2,2021-02-10,4.5,3.13797454290092,1.53533899369486,2.7805,75
2,2021-02-10,6,3.16677514031529,1.26274155613907,2.8178,75
2,2021-02-10,7,3.18730896770954,1.10999461787436,2.7732,75
2,2021-02-10,8,3.25570466801524,1.04027718525058,2.8077,75
2,2021-02-10,9,3.29553813591599,1.02868778299457,2.8152,75
2,2021-02-10,10,3.3398129806295,0.985076139157001,2.8481,75
2,2021-02-10,11,3.46632611036301,0.905865113044047,2.8203,75
3,2021-02-10,0.5,1.96153913129354,2.06596017804633,2.3543,76
3,2021-02-10,1.5,2.90640780288726,1.81367425441183,2.5063,76
3,2021-02-10,2.5,3.16830427906476,1.72125006588369,2.5698,76
3,2021-02-10,3.5,3.23908416220918,1.68332043565254,2.5543,76
3,2021-02-10,4.5,3.33971970062703,1.51930901103944,2.5975,76
3,2021-02-10,6,3.32996852472424,1.24458987424399,2.6475,76
3,2021-02-10,7,3.39352857142687,1.07881652418678,2.6335,76
3,2021-02-10,8,3.4163692060113,1.00536457980295,2.697,76
3,2021-02-10,9,3.46186632663012,0.954383756129783,2.7586,76
3,2021-02-10,10,3.51188543885946,0.900118145867237,2.8307,76
3,2021-02-10,11,3.64284523427486,0.816762039154412,2.8492,76
4,2021-02-10,0.5,1.77321268639062,2.13390803823475,2.449,68.5
4,2021-02-10,1.5,2.88224828762934,1.88348792577959,2.4752,68.5
4,2021-02-10,2.5,3.1466061079572,1.72249860538122,2.5226,68.5
4,2021-02-10,3.5,3.25209207613021,1.65691826907803,2.5262,68.5
4,2021-02-10,5,3.4475782918185,1.50407947055222,2.5783,68.5
