11551|"497997"|"135999"|"29725183"
9654|"497998"|"135999"|"29725267"
9654|"497999"|"135999"|"29725312"
11551|"498002"|"135999"|"29725473"
11551|"498003"|"135999"|"29725556"
|"498005"|"135999"|"29725620"
11551|"498006"|"135999"|"29725665"
11551|"498007"|"135999"|"29725749"
2246|"498007"|"135973"|"29725747"
2246|"498006"|"135973"|"29725663"
2246|"498003"|"135973"|"29725554"
2246|"498002"|"135973"|"29725471"
2246|"498001"|"135973"|"29725431"
2246|"498000"|"135973"|"29725392"
2395|"497998"|"135973"|"29725265"
2246|"497997"|"135973"|"29725181"
2856|"498007"|"135938"|"29725740"
2856|"498006"|"135938"|"29725656"
2856|"498005"|"135938"|"29725618"
2856|"498003"|"135938"|"29725547"
2856|"498002"|"135938"|"29725464"
2856|"498001"|"135938"|"29725424"
2856|"498000"|"135938"|"29725385"
2860|"497998"|"135938"|"29725258"
2856|"497997"|"135938"|"29725174"
2165|"498007"|"135937"|"29725739"
2165|"498006"|"135937"|"29725655"
2165|"498005"|"135937"|"29725617"
2165|"498003"|"135937"|"29725546"
2165|"498002"|"135937"|"29725463"
2165|"498001"|"135937"|"29725423"
2165|"498000"|"135937"|"29725384"
2193|"497998"|"135937"|"29725257"
2165|"497997"|"135937"|"29725173"
29792|"498007"|"135924"|"29725729"
29792|"498006"|"135924"|"29725645"
29792|"498005"|"135924"|"29725612"
29792|"498003"|"135924"|"29725536"
29792|"498002"|"135924"|"29725453"
29792|"498001"|"135924"|"29725413"
29792|"498000"|"135924"|"29725374"
28916|"497998"|"135924"|"29725247"
29792|"497997"|"135924"|"29725163"
4429|"498007"|"135923"|"29725728"
4429|"498006"|"135923"|"29725644"
4429|"498005"|"135923"|"29725611"
4429|"498003"|"135923"|"29725535"
4429|"498002"|"135923"|"29725452"
4429|"498001"|"135923"|"29725412"
4429|"498000"|"135923"|"29725373"
4462|"497998"|"135923"|"29725246"
4429|"497997"|"135923"|"29725162"
2317|"498007"|"135922"|"29725727"
2317|"498006"|"135922"|"29725643"
2317|"498005"|"135922"|"29725610"
2317|"498003"|"135922"|"29725534"
2317|"498002"|"135922"|"29725451"
2317|"498001"|"135922"|"29725411"
2317|"498000"|"135922"|"29725372"
2391|"497998"|"135922"|"29725245"
2317|"497997"|"135922"|"29725161"
1802|"498007"|"135919"|"29725724"
1802|"498006"|"135919"|"29725640"
1802|"498005"|"135919"|"29725607"
1802|"498003"|"135919"|"29725531"
1802|"498002"|"135919"|"29725448"
1802|"498001"|"135919"|"29725408"
1802|"498000"|"135919"|"29725369"
1789|"497998"|"135919"|"29725242"
1802|"497997"|"135919"|"29725158"
