"H2"||"H"||2||13|||79|||66||0|0|0|0|0|0|90|90|100|80|80|100|65|75|100|30|60|80||33.5|||3|||4.2|||5.8|||10.5|||10|||36.5||||||||20|30|35||||0|0.25|0.5||||1.3|1.35|1.4|||||1.42|||4|9|14|0.12|0.15|0.18|||||27.8|||15.4|||41||0|1.5|2.9|29|39|44|13|21|25|0|9|19|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|5|8.1|9.9|3.8|6|7.4|1|2.4|4.4|4.5|5|5.5|||||||||||||||||||||||||||||||||"22004006"|"64936069"
"H1"||"H"||1||0|||13|||13||0|0|0|0|0|2|90|90|100|80|80|100|50|75|95|25|55|75||46|||4.6|||6.2|||8.2|||14.1|||12.9|||44||||||||5|10|15||||1|2|3||||1.4|1.5|1.6|||||1.58|||14|28|42|0.11|0.14|0.17|||||21.7|||7.8|||35||0|1.5|2.9|18|25|33|2|6|10|0|0|6|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|3.5|7|10.5|2.6|5.2|7.9|1|2.4|4.4|4.5|5.3|6|||||||||||||||||||||||||||||||||"22004006"|"64936068"
"H3"||"H"||3||79|||102|||23||0|0|0|0|0|0|90|97.5|100|80|95|100|50|80|90|25|45|55||59.9|||4.1|||5.8|||14.3|||22.1|||13.6|||18.1||||||||10|22|25||||0|0.25|0.5||||1.3|1.4|1.5|||||1.47|||4|9|14|0.11|0.13|0.14|||||21.7|||12.9|||43||0|1.5|2.9|20|32|36|6|15|17|0|3|6|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|2.5|6.1|7.4|1.9|4.5|5.5|1|2.4|4.4|4.5|5|5.5|||||||||||||||||||||||||||||||||"22004007"|"64936074"
"H4"||"H"||4||102|||183|||81||0|0|0|0|0|0|90|97.5|100|80|95|100|40|60|95|10|35|75||66.9|||4.7|||13.6|||16.7|||20.1|||11.8|||23.1||||||||4|10|15||||0|0.25|0.5||||1.3|1.4|1.5|||||1.47|||14|28|42|0.06|0.09|0.12|||||15.4|||6|||43||0|1.5|2.9|15|22|27|1|6|10|0|0|5|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|1|3.1|4.9|0.8|2.3|3.7|1|2.4|4.4|4.5|5|5.5|||||||||||||||||||||||||||||||||"22004007"|"64936075"
"H2"||"H"||2||13|||79|||66||0|0|0|0|0|0|90|90|100|80|80|100|65|75|100|30|60|80||33.5|||3|||4.2|||5.8|||10.5|||10|||36.5||||||||20|30|35||||0|0.25|0.5||||1.3|1.35|1.4|||||1.42|||4|9|14|0.12|0.15|0.18|||||27.8|||15.4|||41||0|1.5|2.9|29|39|44|13|21|25|0|9|19|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|5|8.1|9.9|3.8|6|7.4|1|2.4|4.4|4.5|5|5.5|||||||||||||||||||||||||||||||||"22004007"|"64936073"
"H1"||"H"||1||0|||13|||13||0|0|0|0|0|2|90|90|100|80|80|100|50|75|95|25|55|75||46|||4.6|||6.2|||8.2|||14.1|||12.9|||44||||||||5|10|15||||1|2|3||||1.4|1.5|1.6|||||1.58|||14|28|42|0.11|0.14|0.17|||||21.7|||7.8|||35||0|1.5|2.9|18|25|33|2|6|10|0|0|6|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|3.5|7|10.5|2.6|5.2|7.9|1|2.4|4.4|4.5|5.3|6|||||||||||||||||||||||||||||||||"22004007"|"64936072"
"H2"||"H"||2||15|||102|||87||0|0|0|0|0|2|85|95|100|80|90|100|70|85|100|55|75|95||30|||2.8|||3.1|||5.7|||10.1|||8.3|||30||||||||30|40|50||||0.5|0.75|1||||1.2|1.28|1.35|||||1.34|||4|9|14|0.15|0.18|0.2|||||28.9|||20.6|||46||0|1.5|2.9|34|43|52|12|17|22|4|12|25|".17"|".17"|0|0|0|0|0|0|0|0|0|0|0|0|4.1|5.7|7.2|3.1|4.3|5.4|0.1|0.7|1.6|3.6|4.8|6|||||||||||||||||||||||||||||||||"22004017"|"64936113"
"H1"||"H"||1||0|||15|||15||0|0|0|0|0|2|85|90|100|80|85|100|55|75|95|30|60|75||43|||4.2|||5.8|||7.6|||13.3|||12.1|||39.5||||||||10|17.5|25||||1|2|3||||1.35|1.48|1.6|||||1.55|||14|28|42|0.12|0.16|0.2|||||25.8|||11.9|||37||0|1.5|2.9|16|23|30|2|6|10|0|1|6|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|3.2|6.2|9.2|2.4|4.7|6.9|0.1|0.7|1.6|3.6|5.1|6.5|||||||||||||||||||||||||||||||||"22004017"|"64936112"
"H3"||"H"||3||102|||130|||28||0|0|0|0|0|2|85|97.5|100|80|95|100|65|90|100|30|70|80||33.5|||3|||4.2|||5.8|||10.5|||10|||36.5||||||||20|30|40||||0|0.25|0.5||||1.3|1.35|1.4|||||1.41|||4|9|14|0.12|0.16|0.2|||||30.5|||16.9|||45||0|1.5|2.9|25|34|43|7|12|17|0|7|14|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|2|3.6|5.1|1.5|2.7|3.8|0.1|0.7|1.6|3.6|4.8|6|||||||||||||||||||||||||||||||||"22004017"|"64936114"
"H4"||"H"||4||130|||183|||53||0|0|0|0|0|2|85|97.5|100|80|95|100|55|85|95|30|65|75||44.3|||4.3|||5.9|||7.9|||13.7|||12.5|||40.7||||||||5|15|25||||0|0.25|0.5||||1.45|1.55|1.65|||||1.62|||14|28|42|0.11|0.13|0.15|||||24.7|||9.4|||38||0|1.5|2.9|12|20|30|0|4|10|0|0|6|".43"|".43"|0|0|0|0|0|0|0|0|0|0|0|0|0.5|2.1|3.6|0.4|1.5|2.7|0.1|0.7|1.6|3.6|4.8|6|||||||||||||||||||||||||||||||||"22004017"|"64936115"
"H2"||"H"||2||15|||102|||87||0|0|0|0|0|2|85|95|100|80|90|100|70|85|100|55|75|95||30|||2.8|||3.1|||5.7|||10.1|||8.3|||30||||||||30|40|50||||0.5|0.75|1||||1.2|1.28|1.35|||||1.34|||4|9|14|0.15|0.18|0.2|||||28.9|||20.6|||46||0|1.5|2.9|34|43|52|12|17|22|4|12|25|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|4.1|5.7|7.2|3.1|4.3|5.4|0.1|0.7|1.6|3.6|4.8|6|||||||||||||||||||||||||||||||||"22004018"|"64936117"
"H1"||"H"||1||0|||15|||15||0|0|0|0|0|2|85|90|100|80|85|100|55|75|95|30|60|75||43|||4.2|||5.8|||7.6|||13.3|||12.1|||39.5||||||||10|17.5|25||||1|2|3||||1.35|1.48|1.6|||||1.55|||14|28|42|0.12|0.16|0.2|||||25.8|||11.9|||37||0|1.5|2.9|16|23|30|2|6|10|0|1|6|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|3.2|6.2|9.2|2.4|4.7|6.9|0.1|0.7|1.6|3.6|5.1|6.5|||||||||||||||||||||||||||||||||"22004018"|"64936116"
"H3"||"H"||3||102|||130|||28||0|0|0|0|0|2|85|97.5|100|80|95|100|65|90|100|30|70|80||33.5|||3|||4.2|||5.8|||10.5|||10|||36.5||||||||20|30|40||||0|0.25|0.5||||1.3|1.35|1.4|||||1.41|||4|9|14|0.12|0.16|0.2|||||30.5|||16.9|||45||0|1.5|2.9|25|34|43|7|12|17|0|7|14|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|2|3.6|5.1|1.5|2.7|3.8|0.1|0.7|1.6|3.6|4.8|6|||||||||||||||||||||||||||||||||"22004018"|"64936118"
"H4"||"H"||4||130|||183|||53||0|0|0|0|0|2|85|97.5|100|80|95|100|55|85|95|30|65|75||44.3|||4.3|||5.9|||7.9|||13.7|||12.5|||40.7||||||||5|15|25||||0|0.25|0.5||||1.45|1.55|1.65|||||1.62|||14|28|42|0.11|0.13|0.15|||||24.7|||9.4|||38||0|1.5|2.9|12|20|30|0|4|10|0|0|6|".43"|".43"|0|0|0|0|0|0|0|0|0|0|0|0|0.5|2.1|3.6|0.4|1.5|2.7|0.1|0.7|1.6|3.6|4.8|6|||||||||||||||||||||||||||||||||"22004018"|"64936119"
"H1"||"H"||1||0|||28|||28||0|0|0|0|0|3|45|95|100|35|90|100|25|70|95|15|45|75||68.1|||0|||2.4|||14.7|||34.1|||16.9|||14.4||||||||10|17.5|25||||0.5|1.25|2||||1.2|1.3|1.4|||||1.36|||14|28|42|0.1|0.13|0.15|||||20|||11.1|||45||0|1.5|2.9|21|30|39|6|11|17|0|1|12|".17"|".17"|0|0|0|0|0|0|0|0|0|0|0|0|4.6|8.9|13.2|3.5|6.7|9.9|1|2.4|4.4|4.5|5|5.5|||||||||||||||||||||||||||||||||"22004025"|"64936142"
"H4"||"H"||4||135|||183|||48||0|0|0|0|5|8|45|50|100|35|40|100|20|25|90|10|15|55||65.9|||4.3|||14.1|||17.5|||19.6|||10.4|||19.1||||||||10|15|25||||0|0.1|0.2||||1.2|1.3|1.4|||||1.41|||4|23|42|0.04|0.06|0.08|||||10|||4.6|||27||0|1.5|2.9|20|26|35|6|10|17|0|0|6|".05"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|3.5|5.5|9.2|2.6|4.1|6.9|1|2.4|4.4|4.5|5|5.5|||||||||||||||||||||||||||||||||"22004025"|"64936145"
"H3"||"H"||3||112|||135|||23||0|0|0|0|3|5|65|80|100|55|70|100|35|60|90|15|30|55||58.2|||3.6|||5.4|||14|||21.8|||13.4|||17.8||||||||15|24|30||||0|0.25|0.5||||1.3|1.4|1.5|||||1.48|||4|9|14|0.07|0.1|0.12|||||18.5|||11.5|||36||0|1.5|2.9|24|34|40|9|16|21|0|0|8|".15"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|5.2|9|11.6|3.9|6.7|8.7|1|2.4|4.4|4.5|5|5.5|||||||||||||||||||||||||||||||||"22004025"|"64936144"
"H2"||"H"||2||28|||112|||84||0|0|0|0|3|5|65|90|100|55|85|100|45|80|100|20|65|80||33.5|||3|||4.2|||5.8|||10.5|||10|||36.5||||||||20|30|35||||0|0.25|0.5||||1.3|1.4|1.5|||||1.47|||4|9|14|0.13|0.16|0.19|||||28.5|||16.1|||40||0|1.5|2.9|29|39|44|13|21|25|0|11|19|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|7|11.1|13.4|5.2|8.3|10|1|2.4|4.4|4.5|5|5.5|||||||||||||||||||||||||||||||||"22004025"|"64936143"
