horizon,forecast_date,depth,mean,sd,obs,turnover_pct
1,2021-05-04,0.5,17.6921252584457,0.901428988513383,18.8521,0
1,2021-05-04,1.5,17.6495758152008,0.854763767714819,18.8451,0
1,2021-05-04,2.5,17.4064918136597,0.872567033342548,16.5563,0
1,2021-05-04,3.5,14.8129375171661,1.25941129877921,14.6327,0
1,2021-05-04,4.5,12.168652381897,0.762100358066554,12.299,0
1,2021-05-04,5.5,10.9930025863647,0.532413017914427,10.5116,0
1,2021-05-04,7,9.78153411388397,0.404831070697776,9.6857,0
1,2021-05-04,8,9.19734247684479,0.3151181069007,9.2314,0
1,2021-05-04,9,8.78784396409988,0.318348494246357,8.9346,0
1,2021-05-04,10,8.56839322805405,0.30006534001666,8.7841,0
1,2021-05-04,11,8.30774502038956,0.309163357698086,8.6024,0
2,2021-05-04,0.5,17.3868359851837,1.08045949037675,18.9725,0
2,2021-05-04,1.5,17.4344218206406,1.06812647005666,18.9336,0
2,2021-05-04,2.5,17.3976351690292,0.977786359328237,18.8917,0
2,2021-05-04,3.5,15.5381441450119,1.69153925261665,14.9645,0
2,2021-05-04,4.5,12.3752904605865,1.22401138568457,12.2291,0
2,2021-05-04,5.5,11.0147154951096,0.822771357551769,10.8491,0
2,2021-05-04,7,9.84996695041657,0.544281560300663,9.6639,0
2,2021-05-04,8,9.22978229045868,0.43139675984082,8.8753,0
2,2021-05-04,9,8.78942396402359,0.415418371179689,8.659,0
2,2021-05-04,10,8.55318083524704,0.389014612148439,8.622,0
2,2021-05-04,11,8.21056876897812,0.392182851250471,8.5282,0
3,2021-05-04,0.5,16.9924827194214,1.26018768137401,18.6846,0
3,2021-05-04,1.5,16.9040275669098,1.23483318850621,18.376,0
3,2021-05-04,2.5,16.6269001483917,1.28100319824299,17.5747,0
3,2021-05-04,3.5,15.4222602987289,1.58528519926902,14.7716,0
3,2021-05-04,4.5,12.4738972377777,1.47479028436902,12.2786,0
3,2021-05-04,5.5,11.0264643669128,0.996901616108954,11.1984,0
3,2021-05-04,7,9.86249143123627,0.653059322027409,10.1009,0
3,2021-05-04,8,9.20407292366028,0.509873352193614,9.3607,0
3,2021-05-04,9,8.77773281097412,0.470549473288635,8.8269,0
3,2021-05-04,10,8.49796286344528,0.465197605132804,8.6767,0
3,2021-05-04,11,8.12030854225159,0.436460306898973,8.5451,0
4,2021-05-04,0.5,16.0289582300186,1.29429650950333,17.3536,0
4,2021-05-04,1.5,16.1047531032562,1.29153319658,17.3458,0
4,2021-05-04,2.5,16.0998180437088,1.28960374819653,17.3376,0
4,2021-05-04,3.5,15.6816173648834,1.45906941861293,15.0603,0
4,2021-05-04,4.5,12.6592669248581,1.5926966584213,12.9356,0
4,2021-05-04,5.5,11.1022187805176,1.13868707598316,10.632,0
4,2021-05-04,7,9.83550314903259,0.766069315932177,9.5501,0
4,2021-05-04,8,9.20218286514282,0.592166674170031,8.9604,0
4,2021-05-04,9,8.77187525987625,0.537444355254445,8.7261,0
4,2021-05-04,10,8.4347612953186,0.523050505437114,8.6391,0
4,2021-05-04,11,8.01053669691086,0.504896519585639,8.509,0
5,2021-05-04,0.5,15.3720980739594,1.34631574453202,17.0139,0
5,2021-05-04,1.5,15.362086687088,1.34064161253312,16.9983,0
5,2021-05-04,2.5,15.2947626304626,1.38887414320156,16.9579,0
5,2021-05-04,3.5,15.085952630043,1.4667087152071,15.5762,0
5,2021-05-04,4.5,12.8905554437637,1.58457711268272,13.7602,0
5,2021-05-04,5.5,11.1393087768555,1.26359179886221,10.9234,0
5,2021-05-04,6.5,10.1988598680496,0.935916090954406,9.598,0
5,2021-05-04,8,9.20055588006973,0.639552213276041,9.0253,0
5,2021-05-04,9,8.72892000436783,0.597065977371649,8.7478,0
5,2021-05-04,10,8.37746305704117,0.56362856560026,8.6596,0
5,2021-05-04,11,7.95577760457993,0.539660052772137,8.5397,0
6,2021-05-04,0.5,15.1650491714478,1.47068416497935,17.0995,0
6,2021-05-04,1.5,15.1388577747345,1.48895664254814,17.1011,0
6,2021-05-04,2.5,15.1024784994125,1.57577366208579,17.1037,0
6,2021-05-04,3.5,14.8864546871185,1.61603747542137,17.0626,0
6,2021-05-04,4.5,13.167174987793,1.71912501573735,13.6507,0
6,2021-05-04,5.5,11.4107418990135,1.45155867174065,11.6602,0
6,2021-05-04,6.5,10.3037819981575,1.04131454355377,9.9173,0
6,2021-05-04,8,9.16963711977005,0.666710668162197,8.9411,0
6,2021-05-04,9,8.67367619037628,0.620574673492131,8.6803,0
6,2021-05-04,10,8.30025362014771,0.621728147451657,8.6141,0
6,2021-05-04,11,7.86412698984146,0.617543653548809,8.5232,0
7,2021-05-04,0.5,15.4429396390915,1.79430236989395,17.6992,0
7,2021-05-04,1.5,15.2250214719772,1.7697959877948,17.6891,0
7,2021-05-04,2.5,15.1011963748932,1.75595068457499,17.6731,0
7,2021-05-04,3.5,14.8657614135742,1.77172877729485,16.1769,0
7,2021-05-04,4.5,13.4178665828705,1.76998145128557,14.2841,0
7,2021-05-04,5.5,11.6813238668442,1.6339782845405,11.0158,0
7,2021-05-04,6.5,10.4699610924721,1.18217046072109,9.7154,0
7,2021-05-04,8,9.16510495185852,0.724889801944419,9.1288,0
7,2021-05-04,9,8.68097209215164,0.694726446936824,8.8238,0
7,2021-05-04,10,8.28715208292008,0.68841578659536,8.7043,0
7,2021-05-04,11,7.80881019592285,0.685887769209906,8.5201,0
8,2021-05-04,0.5,15.3848299360275,1.88125193088868,17.5124,0
8,2021-05-04,1.5,15.2131108856201,1.91444825055656,17.5088,0
8,2021-05-04,2.5,15.0847249698639,1.86940734145075,17.5132,0
8,2021-05-04,3.5,14.7909390926361,1.87000378389952,17.4748,0
8,2021-05-04,4.5,13.4225986003876,1.81751465085681,13.4077,0
8,2021-05-04,5.5,11.7465519571304,1.69622877381302,11.7308,0
8,2021-05-04,6.5,10.544575984478,1.26943673441871,10.5462,0
8,2021-05-04,8,9.1640519618988,0.818818315699551,9.4823,0
8,2021-05-04,9,8.65086570262909,0.760527124922025,8.8856,0
8,2021-05-04,10,8.25450975894928,0.729815070529775,8.6247,0
8,2021-05-04,11,7.7811713886261,0.69970661980104,8.4413,0
9,2021-05-04,0.5,15.3562784481049,2.01234361714274,16.7577,0
9,2021-05-04,1.5,15.1260532712936,1.98143483074008,16.7543,0
9,2021-05-04,2.5,14.8603005313873,1.91352927060317,16.7518,0
9,2021-05-04,3.5,14.5917619132996,1.88604993247629,16.6943,0
9,2021-05-04,4.5,13.3952834844589,1.86546908511077,14.603,0
9,2021-05-04,5.5,11.7934859204292,1.79819949261156,10.6993,0
9,2021-05-04,6.5,10.5434147906303,1.29310930954331,9.5868,0
9,2021-05-04,8,9.19803048849106,0.913871539543339,8.9587,0
9,2021-05-04,9,8.64149739503861,0.813481390618494,8.7336,0
9,2021-05-04,10,8.22802355527878,0.777357065871122,8.6418,0
9,2021-05-04,11,7.72548436641693,0.738580348371857,8.4305,0
10,2021-05-04,0.5,15.3511669874191,2.03477238778112,17.3133,0
10,2021-05-04,1.5,15.1273343849182,1.96321350706912,17.3014,0
10,2021-05-04,2.5,14.9201412153244,2.02359805325672,17.0485,0
10,2021-05-04,3.5,14.4821086597443,2.02303687703598,16.4225,0
10,2021-05-04,4.5,13.3828793764114,1.93422707252212,13.126,0
10,2021-05-04,5.5,11.8477672338486,1.78717206251521,11.5731,0
10,2021-05-04,6.5,10.5180013394356,1.3654918043102,10.4922,0
10,2021-05-04,8,9.19989898204804,0.958622426234859,9.5282,0
10,2021-05-04,9,8.62403762578964,0.855200276149461,8.8505,0
10,2021-05-04,10,8.20095303058624,0.838372433031402,8.6635,0
10,2021-05-04,11,7.70139439105988,0.804930586769057,8.4116,0
11,2021-05-04,0.5,15.1712396240234,1.85389831709158,17.359,0
11,2021-05-04,1.5,15.0563408041,1.89119183459253,17.3516,0
11,2021-05-04,2.5,14.9436744117737,1.8870015965987,17.3184,0
11,2021-05-04,3.5,14.6576320028305,1.88368876825154,16.7839,0
11,2021-05-04,4.5,13.5518354034424,1.9090343562391,13.4104,0
11,2021-05-04,5.5,12.0729089379311,1.81749002345594,11.9622,0
11,2021-05-04,6.5,10.6978471231461,1.46849484436794,10.5437,0
11,2021-05-04,7.5,9.67807373523712,1.18501286804566,9.3698,0
11,2021-05-04,9,8.66029061317444,0.960129169719631,8.7552,0
11,2021-05-04,10,8.18441399812698,0.918018274354851,8.636,0
11,2021-05-04,11,7.63083927631378,0.849574164657373,8.371,0
12,2021-05-04,0.5,15.3609016132355,1.88366490886906,17.9834,0
12,2021-05-04,1.5,15.1494518089294,1.83934263386553,17.9592,0
12,2021-05-04,2.5,15.0603036689758,1.79845364861438,17.3392,0
12,2021-05-04,3.5,14.7038793134689,1.85053811694416,16.5373,0
12,2021-05-04,4.5,13.7381136512756,1.93413255966537,14.0401,0
12,2021-05-04,5.5,12.2366283631325,1.89395643738171,12.2401,0
12,2021-05-04,6.5,10.8554492235184,1.55854200261314,10.3044,0
12,2021-05-04,7.5,9.76946187257767,1.23613831651641,9.3878,0
12,2021-05-04,9,8.67948169469833,1.04151389526748,8.7854,0
12,2021-05-04,10,8.17867119312286,0.993054599628024,8.5745,0
12,2021-05-04,11,7.59689316272736,0.895559819892752,8.397,0
13,2021-05-04,0.5,15.4800922870636,1.89314746894939,17.2548,0
13,2021-05-04,1.5,15.2249424409866,1.82712584444486,17.2408,0
13,2021-05-04,2.5,15.0251786994934,1.80559521793406,17.2223,0
